Scenario,Relationship,Seriousness,Tone,Excuse_Text,Believability_Score
Missed exam,Academic,High,Formal,"My internet and phone services were out due to a power outage in my neighborhood, making it impossible for me to reach anyone or access important documents.",5
Forgot birthday,Friend,Low,Formal,I was in a meeting that went longer than expected and didn't get back to you in time.,2
Missed meeting,Professional,High,Apologetic,"Unfortunately, I got stuck in traffic on the way here due to an accident and arrived just as you were leaving.",3
Cancelled date,Romantic,Low,Formal,Last-minute work emergency has popped up and I need to put in a few extra hours to get everything sorted out.,1
Didn’t attend family dinner,Family,Medium,Emotional,I'm really sorry but I just got overwhelmed and needed some space today.,4
Missed meeting,Professional,High,Emotional,"The traffic was a nightmare, and despite leaving early, I got stuck in a jam that made me run perilously close to being late.",3
Cancelled plans,Friend,Medium,Emotional,Something major came up with my family and I need to take care of some important personal business today - sorry for the short notice.,3
Missed meeting,Professional,High,Apologetic,My internet connection went out just as we were supposed to start the call and I couldn't connect remotely.,5
Cancelled plans,Friend,Medium,Formal,"Unfortunately, my sister is getting married tomorrow and I have some last-minute preparations to attend to.",2
Missed meeting,Professional,High,Emotional,"The bus I usually take to get here was delayed due to mechanical issues, and even with an alternate route, I still managed to miss the meeting by mere minutes.",5
Didn’t attend family dinner,Family,Medium,Casual,"I got held up at the gym and forgot what time it was when I left â€“ next thing I knew, it was already past dinner.",4
Forgot birthday,Friend,Medium,Apologetic,"I've been going through some personal stuff, and I'm still trying to figure out what's going on in my own life, so I guess your birthday just slipped my mind for now.",2
Forgot anniversary,Romantic,High,Casual,"It's not that I didn't care, it's just that I've been dealing with some family drama lately and my mind has been elsewhere.",3
Late project submission,Professional,Low,Formal,"I was dealing with some unexpected technical issues that required immediate attention, and I didn't want to compromise on quality by rushing to meet the original deadline.",1
Forgot anniversary,Romantic,Medium,Emotional,"I was so caught up in work and didn't realize it was our anniversary, I'm really sorry for forgetting.",2
Forgot anniversary,Romantic,Low,Emotional,"I'm not even kidding, I genuinely think my phone autocorrected the reminder to next week, and before I knew it, it was too late to do anything about it!",3
Forgot birthday,Friend,High,Casual,"To be honest, I was really overwhelmed with work this week and totally lost track of time.",5
Late project submission,Professional,Low,Casual,"My internet connection went out for like three hours, and when it came back on, I had to spend some time troubleshooting before getting started again.",3
Didn’t attend family dinner,Family,Low,Apologetic,I got held up at the grocery store because they were having some kind of issue with their credit card machines.,2
Didn’t attend family dinner,Family,Medium,Casual,I got caught up in an online game marathon and completely forgot what day it was â€“ whoops!,4
Late project submission,Professional,High,Emotional,"My internet connection at home was down for most of the week, making it impossible to do any meaningful work.",4
Forgot anniversary,Romantic,Medium,Casual,"I promise I'm not making this up, but my phone died yesterday afternoon and I didn't get any notifications or reminders about our anniversary.",4
Didn’t attend family dinner,Family,Medium,Formal,"My neighbor's tree branch fell on the sidewalk in front of our building, and I had to take care of it before someone got hurt.",2
Didn’t attend family dinner,Family,Low,Apologetic,I had a last-minute work emergency that needed my attention before the end of the day.,2
Missed exam,Academic,Medium,Casual,My power went out at home and I was unable to get dressed or grab anything to eat before leaving the house.,2
Missed exam,Academic,High,Apologetic,"I was experiencing some unexpected personal issues that took priority over attending the exam, but I'm working through them now.",3
Missed exam,Academic,Low,Formal,"My car's engine overheated on the way to school, and I had to get it towed to a repair shop before it could be fixed.",1
Cancelled plans,Friend,Medium,Emotional,I had a bit of a panic attack this morning and I'm still trying to get myself together - maybe we can hang out another day?,2
Missed exam,Academic,Medium,Formal,"I was experiencing a family emergency and had to leave the country unexpectedly, resulting in my absence from the exam.",3
Forgot birthday,Friend,Medium,Casual,"In all the chaos of the week, I just plain forgot - my apologies!",3
Missed family event,Family,Medium,Casual,"The roads were closed due to an accident, and there was no way to get around it.",4
Cancelled plans,Friend,Medium,Apologetic,"I was really looking forward to seeing you tonight, but my phone was stolen yesterday and I'm waiting for the police to process the claim before I can get a new one.",3
Missed exam,Academic,Medium,Apologetic,"I was in a car accident on the way to school and had to deal with the aftermath before I could even think about taking an exam, I'm really sorry for missing it.",3
Cancelled date,Romantic,High,Casual,One of my closest friends is going through a tough time and I promised to be there for them tonight.,4
Late to class,Academic,Medium,Apologetic,"I know it's not ideal, but there was an unexpected traffic jam on the highway that added like 15 minutes to my commute.",2
Didn’t attend family dinner,Family,Medium,Formal,"My car broke down on the way home, leaving me stranded with no alternative but to stay late at the shop.",4
Forgot anniversary,Romantic,Low,Formal,"I was on a conference call at the office and when it ended, I just forgot that it was our special day.",3
Forgot birthday,Friend,Low,Casual,My alarm clock must have malfunctioned because I had no idea today was your birthday until just now.,2
Forgot birthday,Friend,Low,Apologetic,"I was trying to surprise you with a small celebration on your actual birthday, but it didn't quite go as planned and I ended up forgetting altogether.",2
Missed exam,Academic,High,Emotional,"My child was rushed to the emergency room with a severe allergic reaction, and I needed to be there for them.",3
Missed exam,Academic,Medium,Apologetic,"I had some issues with transportation and ended up having to take an unexpected detour, which made me late and unable to make it to class.",4
Forgot birthday,Friend,Low,Emotional,I got stuck in a Netflix loop and watched an entire season without stopping â€“ my bad!,2
Cancelled date,Romantic,Medium,Casual,"I think I left my phone at home and can't get in touch with anyone to help me pick you up, so it's not going to work out tonight.",2
Missed exam,Academic,High,Casual,"I was trying out a new breakfast spot that was supposed to be amazing, but it ended up taking way longer than expected.",5
Missed meeting,Professional,High,Apologetic,Here are 10 different natural human-like excuses for missing a meeting:,3
Late to class,Academic,Low,Formal,"I stopped to help an elderly woman carry her groceries when I was walking to campus, and lost track of time.",1
Cancelled plans,Friend,High,Emotional,My younger sibling is having a medical emergency and I need to be there for them tonight.,4
Forgot anniversary,Romantic,High,Apologetic,"I've been stuck at work non-stop since yesterday morning, didn't even have a chance to check my phone, and completely forgot it was today.",4
Late to class,Academic,High,Emotional,"I apologize for being late, but my cat got stuck in the window and I had to carefully coax her out without hurting her.",5
Forgot anniversary,Romantic,Low,Casual,I had my phone on silent mode and didn't notice any calls or texts from you until hours later.,2
Cancelled date,Romantic,High,Casual,I've been dealing with some personal issues lately and I think I need to take the night to recharge and clear my head.,5
Forgot anniversary,Romantic,Low,Casual,I was so focused on planning the surprise party for your friend that the date flew right by me!,2
Missed meeting,Professional,High,Formal,I'm still waiting for a critical piece of information from another team member that would have greatly impacted our discussion today.,5
Late project submission,Professional,Low,Casual,"The dog needed an emergency vet visit, and I didn't want to leave him alone, so it took me a little longer than expected to wrap up the project.",1
Forgot anniversary,Romantic,Medium,Casual,I was trying to surprise you with a little something by planning a spontaneous weekend getaway instead of buying an anniversary gift.,3
Missed family event,Family,Medium,Casual,I got held up at the store buying some last-minute gifts for my niece's birthday party tonight.,3
Cancelled plans,Friend,High,Apologetic,"I'm so sorry, but something unexpected came up and I had to cancel our plans - my car broke down on the way home from work and I need to deal with it ASAP.",3
Forgot anniversary,Romantic,Medium,Formal,"I know this is a lame excuse, but I actually had a really bad headache that day and it threw me off.",4
Late project submission,Professional,Low,Apologetic,"I was hoping to get a head start on the project, but my initial idea wasn't working out as planned, and it took me longer to develop a new approach.",1
Cancelled plans,Friend,High,Emotional,I've been feeling really overwhelmed with schoolwork and personal stuff and I need a night to recharge alone.,3
Forgot anniversary,Romantic,Low,Formal,"I was caught up in rewatching our favorite TV show and lost track of time, it's not an ideal anniversary plan but I promise to make it up to you.",3
Missed family event,Family,Medium,Emotional,"I'm truly sorry for not being there to see you open your new business, but my power went out at home during a crucial moment and I had to wait hours for the electric company to arrive.",2
Didn’t attend family dinner,Family,Low,Apologetic,I had a sudden case of food poisoning and wasn't feeling well enough to come over.,3
Missed exam,Academic,High,Apologetic,I had a family emergency that required my immediate attention and I wasn't able to leave the house in time to make it to class.,4
Forgot birthday,Friend,Medium,Apologetic,"I know this is a lame excuse, but honestly, I was so caught up in trying to meet that looming deadline at work, I forgot everything else, including the importance of celebrating with you.",3
Didn’t attend family dinner,Family,High,Formal,My car broke down on the way to dinner and I had to wait for roadside assistance to arrive before getting back home.,3
Missed family event,Family,Low,Formal,"Regrettably, I had a prior commitment that I forgot about and it ran way longer than expected, which is why I couldn't attend the family event as planned.",1
Late project submission,Professional,Low,Casual,"My cat got stuck in a tree again, and I had to spend hours rescuing her, leaving me no time for the project.",3
Late project submission,Professional,Medium,Formal,"The project required more research than initially anticipated, leading to a delay in its submission but not a compromise on quality.",3
Missed family event,Family,High,Casual,My car broke down on the side of the road and I had to wait for a tow truck to arrive before I could even think about making it to the event.,3
Cancelled date,Romantic,High,Apologetic,My sister is in town unexpectedly and we haven't seen each other in ages - I really need to spend some time with her tonight.,5
Late to class,Academic,Medium,Formal,"My alarm clock didn't go off as scheduled, so I overslept by a few minutes.",4
Didn’t attend family dinner,Family,High,Casual,"I had a bit of a medical issue, got a sudden headache and just needed some quiet time to recover.",3
Missed exam,Academic,High,Casual,My car's alarm went off at 6 am and I spent an hour trying to figure out why it wouldn't shut off.,5
Forgot anniversary,Romantic,Medium,Apologetic,"The alarm clock never went off and I overslept, which threw everything off schedule and led to the forgetfulness.",3
Cancelled plans,Friend,Medium,Formal,Something unexpected came up at work and I need to take care of it ASAP.,4
Cancelled date,Romantic,High,Casual,I'm feeling really overwhelmed with stress and I think I need to take the night to prioritize my mental health.,4
Missed family event,Family,Medium,Emotional,"I'm really sorry I wasn't there to support you at your kid's school play, but my flight was delayed by several hours due to bad weather and I didn't arrive until it was already over.",2
Cancelled plans,Friend,Medium,Apologetic,"I'm really disappointed too, but I had an unexpected work emergency pop up and I have to take care of it ASAP.",4
Forgot birthday,Friend,High,Formal,"I'm so sorry I forgot your birthday, but to be honest, my mind was preoccupied with the upcoming project deadline at work and I just didn't have it together.",3
Late project submission,Professional,Low,Apologetic,"My internet connection at home has been spotty lately, and it made it difficult for me to work on the project efficiently.",3
Missed meeting,Professional,Low,Casual,"To be honest, I had a bit of a mishap this morning and spilled coffee all over my shirt, which took me way longer than expected to clean up before heading out the door.",3
Cancelled plans,Friend,High,Apologetic,"I feel terrible for standing you up, but I got hit with a family emergency and had to take care of some things that couldn't wait any longer.",3
Late project submission,Professional,Medium,Emotional,"I wanted to make sure everything met your expectations, so I took some extra time to review and revise the project to ensure it was up to par.",4
Missed family event,Family,High,Casual,I had a last-minute work emergency that required my attention and I couldn't just drop everything to come to the party.,4
Forgot anniversary,Romantic,High,Emotional,"I was dealing with a family emergency that required my immediate attention, and my brain was elsewhere, forgetting everything else, including our special day.",4
Missed family event,Family,Medium,Emotional,"I feel terrible for missing our family barbecue, but my cat was feeling unwell and I had to take her to the emergency vet as soon as possible.",2
Forgot anniversary,Romantic,Low,Apologetic,I swear I would've remembered if I hadn't been up all night binge-watching that new show on Netflix.,3
Late project submission,Professional,Medium,Formal,"I was struggling with some last-minute technical issues that I'm still working to resolve, but I'm confident it will be completed by the end of the day.",2
Didn’t attend family dinner,Family,High,Emotional,I had a last-minute assignment come up at school and I really need to focus on it right now.,5
Missed family event,Family,Low,Apologetic,"I had a last-minute appointment with the doctor and couldn't reschedule, I know it's not an ideal reason but I'm really sorry about missing the family dinner.",1
Forgot anniversary,Romantic,Low,Formal,I've been overwhelmed with family obligations and it slipped my mind amidst all the chaos.,1
Late project submission,Professional,Medium,Casual,"My hard drive crashed and I lost all my work, but luckily I had a backup on an external drive that was outdated so it took me a while to get everything sorted out again.",2
Didn’t attend family dinner,Family,High,Emotional,"I was really tired from a late night and just needed some rest, you guys understand how that is.",3
Missed family event,Family,High,Apologetic,"I know how much this event meant to you, and I'm heartbroken for missing it, but a sudden change in plans at the last minute left me scrambling to adjust my schedule.",5
Cancelled plans,Friend,High,Formal,My car broke down on the way home from work and I need to deal with the mechanic today.,5
Cancelled date,Romantic,Low,Emotional,"To be honest, I've been feeling really under the weather all day and think I might be coming down with something, so I don't want to risk getting you sick either.",3
Cancelled plans,Friend,Medium,Casual,Something unexpected came up at home and I need to handle it today.,3
Didn’t attend family dinner,Family,High,Emotional,Something personal came up that I needed to take care of and I just didn't have time for dinner tonight.,4
Missed family event,Family,Medium,Casual,"My boss asked me to cover an unexpected shift, and I couldn't say no without getting in trouble.",4
Cancelled date,Romantic,Low,Casual,Something unexpected came up at work and I have to stay late to get everything wrapped up.,3
Late to class,Academic,Low,Formal,The coffee shop where I usually grab a quick breakfast was closed due to an unexpected power outage.,2
Missed meeting,Professional,High,Formal,"Due to an unexpected family emergency, I had to attend to some personal matters and couldn't make it to the meeting as planned.",4
Forgot anniversary,Romantic,Medium,Emotional,"The power outage at home last night meant I didn't get a chance to charge my phone, so when your message came in, I didn't see it until just now.",3
Missed family event,Family,Low,Formal,"Sadly, I was dealing with some unexpected issues at my home regarding a leaky pipe and had to take care of it right away.",1
Late to class,Academic,High,Apologetic,I was waiting for a ride from a friend who is running about 20 minutes behind schedule.,4
Cancelled date,Romantic,High,Casual,"I'm so sorry, but I just got called into work and I have to take care of an unexpected situation tonight.",4
Didn’t attend family dinner,Family,Medium,Formal,I was unexpectedly called into work to handle an urgent matter and couldn't leave until it was resolved.,2
Didn’t attend family dinner,Family,High,Emotional,"The restaurant down the street had a fire alarm go off and they closed early, so I ended up eating somewhere else.",4
Late project submission,Professional,Low,Casual,"I was on the verge of a major breakthrough with my fantasy football team, and I just couldn't tear myself away from the draft.",1
Cancelled date,Romantic,Medium,Emotional,My car just broke down on the way home from work and I won't have transportation today.,3
Forgot anniversary,Romantic,High,Emotional,Your father's passing has left me struggling with emotions and I just wasn't in a place to think about celebrating our love on this day.,4
Missed meeting,Professional,Medium,Apologetic,"I'm so sorry, but I had an unexpected family emergency that popped up last minute and I had to leave town unexpectedly.",4
Forgot birthday,Friend,High,Formal,I'm really sorry for being MIA; I've been dealing with some personal stuff lately that's taken a toll on my mental health and left me feeling drained.,3
Missed exam,Academic,Low,Apologetic,My phone died right before I was supposed to take the exam and I didn't have a charger nearby.,2
Late to class,Academic,Low,Emotional,"My bus broke down on the way here and I had to wait for like 20 minutes for another one to show up, and let me tell you, that was some quality meditation time right there.",2
Late project submission,Professional,Low,Emotional,My car broke down on the way home from work yesterday and I spent all evening dealing with the mechanic and insurance company.,3
Missed meeting,Professional,High,Formal,"As I was rushing to get ready, I realized I had left my important documents at home and needed to retrieve them before we met.",5
Late project submission,Professional,High,Casual,"I was working on a crucial component that took longer than expected to get right, but it's now complete and ready for submission.",5
Missed meeting,Professional,Low,Emotional,"I was stuck in traffic on the highway and got caught up in some unexpected roadwork, which totally threw off my timing.",2
Forgot birthday,Friend,Medium,Apologetic,"My phone died on me, and I didn't get the reminder because my alarm clock didn't go off, and by the time I recharged it was too late to do anything about it.",4
Cancelled plans,Friend,High,Casual,I just got some unexpected news from my doctor and need to take care of this ASAP.,4
Late to class,Academic,Low,Emotional,I had to make a quick detour to drop off some library books for my sister who's studying abroad and it took me longer than I expected.,1
Forgot anniversary,Romantic,Low,Casual,"My car's GPS had an outage and I got stuck in traffic, completely forgot about the anniversary.",1
Forgot anniversary,Romantic,Medium,Casual,I was going through some old photos last night and got sucked into reliving memories instead of remembering the date.,4
Forgot birthday,Friend,High,Casual,"To be real, I got caught up in some other stuff and just plain forgot it was your birthday.",5
Missed exam,Academic,Medium,Formal,"A severe storm rolled in suddenly, causing power outages and making it difficult for me to get to campus on time.",3
Missed meeting,Professional,Medium,Emotional,"A personal matter came up unexpectedly, requiring my presence elsewhere at the time the meeting was scheduled.",4
Late to class,Academic,High,Casual,"The elevator in my apartment building was out of order so I had to take the stairs, which took a bit longer than expected.",3
Forgot anniversary,Romantic,High,Apologetic,"I've been dealing with some personal stuff lately and had a rough day yesterday, which totally took me off guard and made it hard for me to focus on anything else today.",3
Cancelled plans,Friend,Medium,Apologetic,"I'm so sorry, but I just found out that my car broke down and I won't be able to make it tonight.",3
Cancelled date,Romantic,High,Emotional,"I have a family emergency that requires my attention, and I won't be able to leave the house until things are sorted out.",5
Missed family event,Family,Low,Apologetic,"I was on my way to your place, but I stopped for gas and then got caught in traffic, honestly it's just been one of those days.",2
Late to class,Academic,Low,Formal,My alarm clock didn't go off because my phone's battery died overnight and I didn't have time to charge it this morning.,1
Cancelled date,Romantic,Medium,Apologetic,"My cat got stuck in a tree, and I need to rescue her before she gets hurt.",2
Cancelled plans,Friend,High,Formal,"I'm so sorry, but I had to cancel our plans due to an unexpected family emergency that requires my immediate attention.",3
Forgot anniversary,Romantic,Medium,Casual,"I got stuck in traffic on the way home from work and lost track of time, which led me to forget all about our special occasion.",3
Forgot anniversary,Romantic,Medium,Apologetic,"It's been one of those weeks where everything seems to be going wrong, and I just didn't catch the date, I know that's no excuse, but it's what happened.",4
Forgot birthday,Friend,High,Casual,"I'm so sorry, I completely spaced out and forgot it was your special day!",5
Late project submission,Professional,Medium,Casual,One of my team members who's been working on part of the project got held up with another priority task and I had to wait for them to finish before I could proceed with mine.,2
Late to class,Academic,Low,Formal,"The campus shuttle broke down on the way here, so I had to walk the rest of the way.",1
Didn’t attend family dinner,Family,High,Apologetic,My car broke down on the side of the road and I had to wait for a tow truck to arrive.,3
Late project submission,Professional,Medium,Emotional,"My personal emergency last night consumed my attention, and I didn't have the mental clarity to work on the project until this morning.",2
Forgot anniversary,Romantic,High,Formal,"I was under the impression that we were celebrating next week, not today â€“ I must have gotten the dates mixed up somehow.",4
Missed family event,Family,Low,Casual,"The TV show I was binge-watching had just gotten to its most intense episode, and I couldn't tear myself away.",1
Missed meeting,Professional,Low,Apologetic,I had to make an unexpected stop at the bank to take care of some personal business and it ran longer than expected.,1
Forgot anniversary,Romantic,Low,Apologetic,"I had meant to make plans with you, but my schedule got totally turned around and I didn't have time to think about it until now.",3
Forgot birthday,Friend,High,Apologetic,"Please forgive me, but I was in such a rush to get things done that your birthday didn't register with me until now.",5
Didn’t attend family dinner,Family,Low,Casual,"My favorite show was having its season finale, and I couldn't miss it â€“ priorities, right?",2
Missed meeting,Professional,Medium,Formal,"I apologize for any inconvenience this may have caused, but I had an unexpected work conflict that required my presence at another location.",2
Missed meeting,Professional,Low,Emotional,"My alarm clock didn't go off this morning, and I ended up sleeping in way later than I meant to, which put me behind the eight ball from the get-go.",3
Late to class,Academic,Medium,Emotional,The traffic was a nightmare this morning and I got stuck in a jam that seemed like it would never end.,4
Forgot birthday,Friend,High,Formal,"My schedule got completely thrown off when my family came into town unexpectedly last week, and before I knew it, your special day had snuck up on me without warning.",4
Late to class,Academic,Medium,Casual,I was trying to finish some last-minute notes for another class and lost track of time â€“ it's just my academic nature getting the best of me.,2
Late to class,Academic,Low,Emotional,I had to make a pit stop at the gas station to fill up on gas for my car and it took me a bit longer than expected because they were out of my usual brand.,2
Late project submission,Professional,Medium,Emotional,"I was waiting for some critical information from my team member who's out of town, and it finally came in just an hour ago.",2
Didn’t attend family dinner,Family,Medium,Emotional,I was stuck in traffic and didn't make it out of the city before rush hour started.,4
Missed exam,Academic,Low,Emotional,"My mom called me on exam day, and we've been going through some tough family stuff lately, so I needed to take care of that first.",1
Late to class,Academic,Low,Casual,"My alarm clock didn't go off because the battery died, and I overslept.",3
Forgot birthday,Friend,Low,Apologetic,"To be honest, I got stuck in this never-ending loop of playing video games and lost track of time â€“ sorry, buddy!",3
Cancelled date,Romantic,Medium,Apologetic,"To be honest, I've been feeling really under the weather all day and I don't think it's a good idea for me to leave my place.",3
Late to class,Academic,Medium,Casual,"The elevator was broken in my apartment building, so I had to take the stairs and lost track of time trying to catch my breath when I finally got outside.",3
Late project submission,Professional,High,Emotional,"I was dealing with a major health issue and had to focus on getting treatment, which meant I couldn't work on anything else for a while.",5
Didn’t attend family dinner,Family,Low,Formal,I was stuck in a meeting at work that ran way longer than expected and I just got out.,1
Cancelled plans,Friend,High,Casual,I'm stuck in a meeting that ran longer than expected and I don't think I can reschedule.,3
Missed exam,Academic,Medium,Casual,I was having some major technical issues with my laptop and couldn't finish up my notes or review materials.,4
Late to class,Academic,Medium,Formal,"I stopped to help someone who was stranded on the side of the road, which put me behind schedule.",2
Didn’t attend family dinner,Family,Medium,Emotional,I had planned on going but then I got caught up in a phone call with a friend and lost track of time.,3
Cancelled plans,Friend,High,Emotional,We had a huge project at work dropped on us last minute and I have to put in some extra hours to meet the deadline.,5
Missed family event,Family,Low,Apologetic,"I had to deal with an unexpected issue with my child's school project and didn't get out of the house until way too late, I feel awful for missing your party.",2
Forgot birthday,Friend,Medium,Formal,"I was stuck in meetings all day yesterday and didn't have a chance to breathe, let alone think about sending you a happy birthday message.",4
Missed exam,Academic,Low,Casual,"I had a weird dream that really freaked me out, and I needed some extra time to process it.",1
Forgot birthday,Friend,Medium,Apologetic,"I'm really sorry, but I was in a meeting that ran way longer than expected, and before I knew it, hours had passed and your birthday had slipped away unnoticed.",2
Missed family event,Family,Medium,Formal,I got held up at a neighbor's house helping them with an unexpected problem and lost track of time.,4
Forgot birthday,Friend,Medium,Formal,"My calendar got mixed up and I forgot to send you a message until it was too late, please forgive me.",4
Late to class,Academic,Medium,Casual,"There was a huge accident on the highway, and traffic is still backed up from it â€“ I'm just lucky I made it here in one piece.",3
Late project submission,Professional,Low,Apologetic,"I'm embarrassed to admit it, but I got caught up in a marathon viewing session of my favorite TV show and lost track of time.",3
Missed family event,Family,Low,Casual,"The weather was awful, and I didn't want to risk getting stuck in a storm.",2
Missed exam,Academic,High,Apologetic,"I woke up with a sudden onset of food poisoning and spent most of the day in bed, unable to leave or function.",5
Missed meeting,Professional,Low,Apologetic,The coffee shop where I stopped for a quick breakfast got slammed and I had to wait in line forever.,1
Missed exam,Academic,Low,Apologetic,"I was having a really rough morning and I completely spaced out about the exam, sorry for the mistake!",2
Late to class,Academic,Medium,Formal,"My professor's lecture last night went overtime, making it difficult for me to wrap up my notes and head out in time.",4
Cancelled plans,Friend,High,Apologetic,"I know we were both looking forward to it, but the unexpected loss of a loved one in my family took priority over our plans today.",5
Didn’t attend family dinner,Family,Medium,Apologetic,I was exhausted from a late night last night and just needed some extra sleep to recharge.,2
Late project submission,Professional,Medium,Emotional,"I had a family commitment that ran longer than expected, and then traffic was terrible getting home, leaving me no time to work on the project.",3
Forgot birthday,Friend,Low,Casual,"I swear, my phone battery died and I missed all the birthday wishes - sorry, buddy!",2
Cancelled date,Romantic,High,Formal,"My phone was stolen yesterday and I'm in the process of getting a new one, but it'll be another 24 hours before I can access my important contacts again.",5
Forgot birthday,Friend,High,Apologetic,"I've been going through a really tough time lately and to be honest, I completely spaced out your birthday.",3
Forgot anniversary,Romantic,High,Casual,"I swear I wrote it down somewhere, but I must have left it at home or something.",3
Late to class,Academic,High,Casual,I overslept after getting stuck in a meeting with my advisor last night that ran way past its scheduled end time.,3
Forgot anniversary,Romantic,High,Casual,You know how we're always saying we need to start planning for our future together? I got caught up in some research on that and completely forgot about today.,3
Cancelled plans,Friend,Low,Casual,I had a sudden case of food poisoning from last night's dinner and I'm still recovering.,2
Late project submission,Professional,Medium,Apologetic,"My computer crashed unexpectedly, and I lost several hours' worth of work â€“ I'm still trying to recover from the data loss.",3
Late project submission,Professional,High,Apologetic,"My computer crashed unexpectedly last night, and it took several hours to troubleshoot and recover all of our work, which is why I'm running late with the submission.",4
Didn’t attend family dinner,Family,Medium,Apologetic,"To be honest, I just had a really bad day and wasn't feeling up to facing everyone at dinner tonight.",3
Missed meeting,Professional,Medium,Formal,"I'm deeply regretful for missing our meeting, but I was unexpectedly called away by a colleague in need of my expertise at short notice.",4
Missed meeting,Professional,High,Apologetic,"I apologize, but I was stuck in a meeting with another team that ran way longer than expected and I lost track of time.",4
Missed meeting,Professional,Low,Formal,"I had forgotten to charge my phone overnight, and it died just as the meeting was starting.",1
Cancelled date,Romantic,Low,Apologetic,"I feel terrible, but I got stuck in a traffic jam that's still not moving and I'm already running super behind schedule - maybe we can catch up another time?",1
Late project submission,Professional,Low,Casual,"I was up all night watching Netflix and lost track of time, so I didn't get to finish the project until this morning.",3
Missed family event,Family,Low,Formal,"Unfortunately, I had a last-minute emergency at my workplace that required my immediate attention, which is why I couldn't make it to the event.",2
Cancelled plans,Friend,High,Formal,"There was a last-minute issue at work that I need to address personally, and it can't be rescheduled.",5
Late project submission,Professional,Low,Casual,"I just needed an extra day to recharge after that crazy weekend party, and I didn't want to compromise the quality of my work.",3
Missed meeting,Professional,Medium,Formal,"I'm truly sorry for the mistake, but I received an urgent personal phone call from a loved one that required my immediate attention.",4
Late to class,Academic,Low,Apologetic,"I was re-reading some notes from last night's lecture and lost track of time â€“ it happens to the best of us, right?",2
Late project submission,Professional,Low,Apologetic,"I'm really sorry, but my computer crashed and I lost all my work, and then it took me a while to get everything back up and running again.",3
Late to class,Academic,High,Formal,"The traffic on campus was significantly heavier than usual due to a sudden construction zone closure, which added to my already tight morning schedule.",4
Forgot birthday,Friend,High,Emotional,I'm really struggling to forgive myself for forgetting your special day - I feel like the worst friend ever.,5
Late project submission,Professional,Medium,Formal,"An unexpected software glitch prevented me from accessing the necessary tools to complete the project, which is now resolved.",2
Didn’t attend family dinner,Family,Medium,Formal,"My internet connection was spotty all day, and I needed to finish a critical project before I could leave for dinner.",3
Forgot anniversary,Romantic,Low,Apologetic,"I was so caught up in work and completely spaced out on the anniversary, I'm really sorry for not being more mindful.",1
Late project submission,Professional,High,Casual,My internet went out yesterday morning and I was unable to access my computer or submit the project digitally.,4
Forgot birthday,Friend,High,Casual,Can you ever forgive me for being so forgetful? I feel like such a terrible friend!,4
